x,y
1,0.016340456096247083
2,0.016256990505917543
3,0.016280947255113025
4,0.016189111747851002
5,0.016310404214365314
6,0.016209773539928488
7,0.016297895304910954
8,0.016135836321451172
9,0.016232423490488007
10,0.016235190873189996
11,0.016293279022403257
12,0.016153115243654134
13,0.01628609805238415
14,0.01622509755596632
15,0.016257501363884343
16,0.01609561752988048
17,0.016303384724437354
18,0.01617277749874435
19,0.016280059587146203
20,0.016174074936001863
21,0.016246953696181964
22,0.016220441665038107
23,0.016263057929724597
24,0.016109422492401215
25,0.016285211267605633
26,0.016214078565779066
27,0.016193924763629047
28,0.016165904637491835
29,0.016296809986130374
30,0.01619348054679285
31,0.016287559674248806
32,0.01606604931384581
33,0.016242155777039496
34,0.016233432651803145
35,0.016273663234805714
36,0.016125394677492105
37,0.016312594840667678
38,0.016209206829479145
39,0.01623550401427297
40,0.016126645953543423
41,0.016301066613000605
42,0.016184721622788088
43,0.016293548814412504
44,0.016161346333644983
45,0.016214990361719014
46,0.016195856873822974
47,0.016300169152698753
48,0.016076736017292623
49,0.016263387544625148
50,0.016217201166180757
51,0.01625441696113074
52,0.01615508885298869
53,0.01627339300244101
54,0.016143397906924963
55,0.016268980477223426
56,0.016118836915297093
57,0.016230426334438223
58,0.01622231626463535
59,0.0163014713665714
60,0.016142384105960264
61,0.016302846090080134
62,0.016216216216216217
63,0.01620536354510254
64,0.016044006417602567
65,0.016262196647485613
66,0.016180168361211326
67,0.016317016317016316
68,0.016175561508345353
69,0.016216760676873488
70,0.01620745542949757
71,0.01629610914603335
72,0.01608954179783141
73,0.016303740926856505
74,0.016237084137617805
75,0.016238023197175995
76,0.016152229228897003
77,0.01625827430031355
78,0.016174010039040714
79,0.01631186065800387
80,0.016090584028605484
81,0.016163948621734738
82,0.01622671694663467
83,0.01628631748265809
84,0.016134772808162296
85,0.016279552053090004
86,0.016219654404749283
87,0.016244968372627948
88,0.016115261472785487
89,0.016294585578650243
90,0.016160626836434867
91,0.016251846800772816
92,0.01614162978391044
93,0.016237874314635175
94,0.01622692927040753
95,0.01625677365568987
96,0.01605191256830601
97,0.0162748643761302
98,0.016199733180865258
99,0.016200951248513673
100,0.01616260560793437
